algorithm,heuristic,calculation_time,cost,ride_time,line_changes
Dijkstra,,78,31,31,2
A* time,Manhattan,7,31,31,2
A* time,Euclidean,6,31,31,2
A* time,Chebyshev,6,46,46,4
A* time,Octile,6,46,46,4
A* changes,Manhattan,6,3,293,3
A* changes,Euclidean,6,2,33,2
A* changes,Chebyshev,6,2,33,2
A* changes,Octile,5,2,33,2
Dijkstra,,76,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,4,3,293,3
A* changes,Euclidean,3,2,33,2
A* changes,Chebyshev,3,2,33,2
A* changes,Octile,4,2,33,2
Dijkstra,,74,31,31,2
A* time,Manhattan,4,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,2,46,46,4
A* changes,Manhattan,4,3,293,3
A* changes,Euclidean,4,2,33,2
A* changes,Chebyshev,3,2,33,2
A* changes,Octile,3,2,33,2
Dijkstra,,48,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,2,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,4,3,293,3
A* changes,Euclidean,3,2,33,2
A* changes,Chebyshev,3,2,33,2
A* changes,Octile,3,2,33,2
Dijkstra,,52,31,31,2
A* time,Manhattan,4,31,31,2
A* time,Euclidean,4,31,31,2
A* time,Chebyshev,4,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,6,3,293,3
A* changes,Euclidean,4,2,33,2
A* changes,Chebyshev,6,2,33,2
A* changes,Octile,3,2,33,2
Dijkstra,,53,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,3,46,46,4
A* time,Octile,2,46,46,4
A* changes,Manhattan,5,3,293,3
A* changes,Euclidean,3,2,33,2
A* changes,Chebyshev,4,2,33,2
A* changes,Octile,3,2,33,2
Dijkstra,,48,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,6,3,293,3
A* changes,Euclidean,4,2,33,2
A* changes,Chebyshev,4,2,33,2
A* changes,Octile,3,2,33,2
Dijkstra,,48,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,2,46,46,4
A* changes,Manhattan,4,3,293,3
A* changes,Euclidean,3,2,33,2
A* changes,Chebyshev,3,2,33,2
A* changes,Octile,4,2,33,2
Dijkstra,,46,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,4,3,293,3
A* changes,Euclidean,3,2,33,2
A* changes,Chebyshev,3,2,33,2
A* changes,Octile,3,2,33,2
Dijkstra,,47,31,31,2
A* time,Manhattan,4,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,4,3,293,3
A* changes,Euclidean,3,2,33,2
A* changes,Chebyshev,3,2,33,2
A* changes,Octile,4,2,33,2
Dijkstra,,46,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,4,3,293,3
A* changes,Euclidean,3,2,33,2
A* changes,Chebyshev,4,2,33,2
A* changes,Octile,3,2,33,2
Dijkstra,,46,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,2,46,46,4
A* changes,Manhattan,4,3,293,3
A* changes,Euclidean,4,2,33,2
A* changes,Chebyshev,3,2,33,2
A* changes,Octile,3,2,33,2
Dijkstra,,53,31,31,2
A* time,Manhattan,4,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,4,3,293,3
A* changes,Euclidean,3,2,33,2
A* changes,Chebyshev,5,2,33,2
A* changes,Octile,3,2,33,2
Dijkstra,,53,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,3,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,4,3,293,3
A* changes,Euclidean,7,2,33,2
A* changes,Chebyshev,6,2,33,2
A* changes,Octile,6,2,33,2
Dijkstra,,68,31,31,2
A* time,Manhattan,7,31,31,2
A* time,Euclidean,4,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,8,3,293,3
A* changes,Euclidean,4,2,33,2
A* changes,Chebyshev,5,2,33,2
A* changes,Octile,6,2,33,2
Dijkstra,,63,31,31,2
A* time,Manhattan,7,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,2,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,8,3,293,3
A* changes,Euclidean,4,2,33,2
A* changes,Chebyshev,4,2,33,2
A* changes,Octile,8,2,33,2
Dijkstra,,66,31,31,2
A* time,Manhattan,4,31,31,2
A* time,Euclidean,4,31,31,2
A* time,Chebyshev,3,46,46,4
A* time,Octile,6,46,46,4
A* changes,Manhattan,5,3,293,3
A* changes,Euclidean,5,2,33,2
A* changes,Chebyshev,8,2,33,2
A* changes,Octile,5,2,33,2
Dijkstra,,65,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,7,46,46,4
A* time,Octile,4,46,46,4
A* changes,Manhattan,4,3,293,3
A* changes,Euclidean,7,2,33,2
A* changes,Chebyshev,4,2,33,2
A* changes,Octile,5,2,33,2
Dijkstra,,64,31,31,2
A* time,Manhattan,3,31,31,2
A* time,Euclidean,6,31,31,2
A* time,Chebyshev,4,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,4,3,293,3
A* changes,Euclidean,7,2,33,2
A* changes,Chebyshev,4,2,33,2
A* changes,Octile,5,2,33,2
Dijkstra,,68,31,31,2
A* time,Manhattan,7,31,31,2
A* time,Euclidean,3,31,31,2
A* time,Chebyshev,3,46,46,4
A* time,Octile,3,46,46,4
A* changes,Manhattan,7,3,293,3
A* changes,Euclidean,5,2,33,2
A* changes,Chebyshev,4,2,33,2
A* changes,Octile,5,2,33,2
