,Unnamed: 0,company,line,departure_time,arrival_time,start_stop,end_stop,start_stop_lat,start_stop_lon,end_stop_lat,end_stop_lon
0,0,MPK Autobusy,A,20:00:00,20:01:00,KRZYKI,Sowia,51.07488366,17.00656861,51.07379262,17.00184494
1,1,MPK Autobusy,A,20:01:00,20:02:00,Sowia,Chłodna,51.07379262,17.00184494,51.07512234,16.99667086
2,2,MPK Autobusy,A,20:02:00,20:03:00,Chłodna,Wawrzyniaka,51.07512234,16.99667086,51.078074,16.9982022
3,3,MPK Autobusy,A,20:03:00,20:05:00,Wawrzyniaka,Rymarska,51.078074,16.9982022,51.0793232,16.99125798
4,4,MPK Autobusy,A,20:05:00,20:06:00,Rymarska,RACŁAWICKA,51.0793232,16.99125798,51.077395,16.983938
5,5,MPK Autobusy,A,20:06:00,20:07:00,RACŁAWICKA,Bukowskiego,51.077395,16.983938,51.07670719,16.97736107
6,6,MPK Autobusy,A,20:07:00,20:08:00,Bukowskiego,Stanki,51.07670719,16.97736107,51.07632585,16.97206692
7,7,MPK Autobusy,A,20:08:00,20:09:00,Stanki,Kadłubka,51.07632585,16.97206692,51.07647653,16.96866058
8,8,MPK Autobusy,A,20:09:00,20:10:00,Kadłubka,Wiejska,51.07647653,16.96866058,51.07763602,16.96391602
9,9,MPK Autobusy,A,20:10:00,20:11:00,Wiejska,Solskiego,51.07763602,16.96391602,51.08179036,16.96866979
10,10,MPK Autobusy,A,20:11:00,20:13:00,Solskiego,GRABISZYŃSKA (Cmentarz),51.08179036,16.96866979,51.0896217,16.97666221
11,11,MPK Autobusy,A,20:13:00,20:15:00,GRABISZYŃSKA (Cmentarz),FAT,51.0896217,16.97666221,51.09375561,16.98037615
12,12,MPK Autobusy,A,20:15:00,20:17:00,FAT,Aleja Pracy,51.09375561,16.98037615,51.09225862,16.98641641
13,13,MPK Autobusy,A,20:17:00,20:18:00,Aleja Pracy,Inżynierska,51.09225862,16.98641641,51.09454012,16.99196391
14,14,MPK Autobusy,A,20:18:00,20:20:00,Inżynierska,Krucza (Mielecka),51.09454012,16.99196391,51.09325606,17.00249247
15,15,MPK Autobusy,A,20:20:00,20:21:00,Krucza (Mielecka),Krucza,51.09325606,17.00249247,51.09342283,17.0083676
16,16,MPK Autobusy,A,20:21:00,20:23:00,Krucza,Pl. Hirszfelda,51.09342283,17.0083676,51.09382147,17.01795905
17,17,MPK Autobusy,A,20:23:00,20:28:00,Pl. Hirszfelda,Arkady (Capitol),51.09382147,17.01795905,51.10203906,17.02983653
18,18,MPK Autobusy,A,20:28:00,20:31:00,Arkady (Capitol),Dworzec Główny (Dworcowa),51.10203906,17.02983653,51.10114919,17.04001736
19,19,MPK Autobusy,A,20:31:00,20:32:00,Dworzec Główny (Dworcowa),skwer Krasińskiego,51.10114919,17.04001736,51.103441,17.04226
20,20,MPK Autobusy,A,20:32:00,20:33:00,skwer Krasińskiego,Krasińskiego,51.103441,17.04226,51.10585896,17.04334082
21,21,MPK Autobusy,A,20:33:00,20:35:00,Krasińskiego,Urząd Wojewódzki (Muzeum Narodowe),51.10585896,17.04334082,51.11044991,17.04858192
