algorithm,calculation_time,cost,ride_time,line_changes
Dijkstra Algorithm,166,31,31,2
A* Algorithm - time - Manhattan,10,46,46,4
A* Algorithm - time - Euclidean,8,46,46,4
A* Algorithm - changes,83,2,33,2
Dijkstra Algorithm,125,31,31,2
A* Algorithm - time - Manhattan,4,46,46,4
A* Algorithm - time - Euclidean,6,46,46,4
A* Algorithm - changes,60,2,33,2
Dijkstra Algorithm,100,31,31,2
A* Algorithm - time - Manhattan,6,46,46,4
A* Algorithm - time - Euclidean,9,46,46,4
A* Algorithm - changes,57,2,33,2
Dijkstra Algorithm,75,31,31,2
A* Algorithm - time - Manhattan,4,46,46,4
A* Algorithm - time - Euclidean,3,46,46,4
A* Algorithm - changes,54,2,33,2
Dijkstra Algorithm,77,31,31,2
A* Algorithm - time - Manhattan,4,46,46,4
A* Algorithm - time - Euclidean,4,46,46,4
A* Algorithm - changes,59,2,33,2
Dijkstra Algorithm,76,31,31,2
A* Algorithm - time - Manhattan,7,46,46,4
A* Algorithm - time - Euclidean,4,46,46,4
A* Algorithm - changes,46,2,33,2
Dijkstra Algorithm,78,31,31,2
A* Algorithm - time - Manhattan,4,46,46,4
A* Algorithm - time - Euclidean,3,46,46,4
A* Algorithm - changes,51,2,33,2
Dijkstra Algorithm,98,31,31,2
A* Algorithm - time - Manhattan,5,46,46,4
A* Algorithm - time - Euclidean,7,46,46,4
A* Algorithm - changes,59,2,33,2
Dijkstra Algorithm,76,31,31,2
A* Algorithm - time - Manhattan,3,46,46,4
A* Algorithm - time - Euclidean,3,46,46,4
A* Algorithm - changes,44,2,33,2
Dijkstra Algorithm,65,31,31,2
A* Algorithm - time - Manhattan,3,46,46,4
A* Algorithm - time - Euclidean,3,46,46,4
A* Algorithm - changes,45,2,33,2
